id_ibge,lat,lng
1100015,-12.47245,-62.27499
1100023,-9.95253,-62.95601
1100031,-13.47484,-60.64106
1100049,-11.30119,-61.32536
1100056,-13.20292,-61.25971
1100064,-13.15923,-60.54883
1100072,-12.92679,-61.09033
1100080,-12.14651,-64.05883
1100098,-11.35159,-60.78492
1100106,-11.30449,-64.53787
1100114,-10.59021,-62.58261
1100122,-10.46213,-61.75703
1100130,-9.2047,-62.01048
1100148,-11.64338,-62.28015
1100155,-10.6092,-62.17161
1100189,-11.89411,-60.83037
1100205,-9.15282,-64.30322
1100254,-11.16613,-61.87767
1100262,-9.64515,-62.79214
1100288,-11.73281,-61.77253
1100296,-12.0267,-61.70083
1100304,-12.09564,-60.24878
1100320,-11.61609,-62.98237
1100338,-10.38165,-64.62936
1100346,-11.30989,-62.54512
1100379,-12.59237,-61.87891
1100403,-9.6509,-63.3948
1100452,-10.05276,-63.94046
1100502,-11.68026,-62.08295
1100601,-10.33158,-62.9865
1100700,-10.48702,-63.80013
1100809,-8.88747,-63.32617
1100908,-11.47031,-61.88063
1100924,-12.53726,-60.89788
1100940,-9.17032,-62.56585
1101005,-10.7489,-63.18427
1101104,-9.17252,-63.04506
1101203,-11.15982,-61.56856
1101302,-11.07665,-62.8507
1101401,-10.21264,-63.37222
1101435,-10.88881,-62.53247
1101450,-12.26251,-61.41502
1101468,-13.17382,-61.54597
1101476,-11.88005,-61.31635
1101484,-11.9044,-61.46798
1101492,-12.36798,-63.12278
1101500,-11.80557,-63.23151
1101559,-10.94329,-62.27951
1101609,-10.12141,-62.34293
1101708,-11.10353,-62.4241
1101757,-9.73315,-61.93892
1101807,-10.38348,-62.09379
1200013,-9.93402,-66.94986
1200054,-10.77954,-70.0072
1200104,-10.74768,-69.20564
1200138,-9.61355,-68.17461
1200179,-10.47326,-67.83556
1200203,-7.97193,-72.75453
1200252,-10.8914,-68.61637
1200302,-8.92453,-70.74507
1200328,-9.24309,-71.90665
1200336,-7.5044,-73.43862
1200344,-9.38165,-69.85413
1200351,-9.09675,-72.55977
1200385,-10.24909,-67.33915
1200393,-8.49253,-72.73369
1200401,-10.06513,-68.37199
1200427,-7.84388,-73.22178
1200435,-9.41056,-70.3965
1200450,-9.99877,-67.42853
1200500,-9.77061,-69.38099
1200609,-8.23957,-71.44494
1200708,-10.57606,-68.50385
1200807,-9.62996,-67.69721
1300029,-3.69345,-65.32311
1300060,-3.41842,-68.28797
1300086,-3.50319,-61.71863
1300102,-4.1985,-62.09468
1300144,-7.7602,-59.43246
1300201,-5.71093,-71.74145
1300300,-3.78676,-59.52552
1300409,-0.46483,-63.43472
1300508,-3.13236,-57.17205
1300607,-5.42257,-70.27387
1300631,-4.60597,-61.80458
1300680,-3.13772,-57.67043
1300706,-8.77304,-68.04694
1300805,-4.95763,-59.535
1300839,-3.0827,-61.87689
1300904,-7.3019,-64.06181
1301001,-5.11866,-67.33757
1301100,-3.77161,-60.18396
1301159,-3.28582,-59.59971
1301209,-4.43537,-64.12492
1301308,-3.28875,-62.97367
1301407,-7.02197,-70.21793
1301506,-7.57332,-70.05566
1301605,-2.49087,-66.35843
1301654,-7.2303,-72.84485
1301704,-7.36103,-62.48666
1301803,-7.17992,-71.41254
1301852,-3.09485,-60.48274
1301902,-3.1731,-58.77635
1301951,-6.68281,-68.11342
1302009,-2.49734,-58.61438
1302108,-1.69727,-68.32086
1302207,-3.52377,-66.30769
1302306,-4.71586,-68.4064
1302405,-8.37506,-65.81196
1302504,-3.29098,-60.95829
1302553,-3.77948,-60.69771
1302603,-2.62679,-60.25925
1302702,-6.46112,-61.44689
1302801,-2.42499,-65.04129
1302900,-4.98594,-58.06174
1303007,-1.68037,-57.65605
1303106,-3.98844,-58.60061
1303205,-2.04839,-61.70325
1303304,-6.82286,-60.47653
1303403,-2.6874,-56.85527
1303502,-7.75768,-68.19806
1303536,-1.37104,-59.98985
1303569,-2.52882,-59.63869
1303601,-0.31901,-65.52132
1303700,-3.05354,-69.08933
1303809,0.37478,-67.99764
1303908,-4.50057,-69.44977
1303957,-1.94115,-58.70555
1304005,-2.82086,-58.53741
1304062,-4.02815,-69.67754
1304104,-6.09355,-64.95563
1304203,-4.46965,-65.53119
1304237,-2.69216,-67.82715
1304260,-3.16722,-65.41115
1304302,-0.89353,-59.02989
1304401,-2.81216,-57.76942
1400027,3.73302,-62.43841
1400050,3.0726,-62.74115
1400100,3.1187,-60.71723
1400159,2.78765,-60.10006
1400175,2.27475,-60.54192
1400209,0.99033,-61.47152
1400233,0.91425,-59.33822
1400282,2.18215,-62.40088
1400308,2.51126,-61.99689
1400407,3.87939,-60.06397
1400456,4.1652,-60.83858
1400472,0.03782,-61.01145
1400506,0.6361,-59.84506
1400605,0.88395,-60.15316
1400704,4.68432,-60.27987
1500107,-1.72998,-48.8833
1500131,-4.95851,-48.42501
1500206,-2.03439,-48.41129
1500305,-0.26258,-50.72542
1500347,-6.77374,-50.43029
1500404,-0.6041,-55.03938
1500503,0.28509,-53.8944
1500602,-6.48603,-53.88702
1500701,-0.82732,-49.96162
1500800,-1.32948,-48.38513
1500859,-3.99704,-51.30096
1500909,-1.10505,-46.5098
1500958,-2.2308,-47.7247
1501006,-3.66705,-56.01547
1501105,-2.37382,-50.18226
1501204,-3.12909,-49.69953
1501253,-7.4875,-50.63441
1501303,-1.49899,-48.63426
1501402,-1.24499,-48.45976
1501451,-3.19244,-54.99315
1501501,-1.33848,-48.27769
1501576,-5.05403,-48.7637
1501600,-1.38696,-47.3016
1501709,-1.19349,-46.7629
1501725,-3.29196,-52.68598
1501758,-5.73422,-48.43121
1501782,-3.7341,-49.37141
1501808,-1.12116,-50.62767
1501907,-1.63379,-48.09008
1501956,-1.99231,-46.44341
1502004,-0.8691,-48.87698
1502103,-2.25072,-49.51153
1502152,-6.42434,-50.08694
1502202,-1.14172,-47.11773
1502301,-2.04189,-47.23325
1502400,-1.27038,-47.87561
1502509,-0.03384,-49.84309
1502608,-0.93673,-48.27388
1502707,-8.18146,-49.51359
1502756,-1.88087,-47.97609
1502764,-8.4579,-51.22022
1502772,-6.22808,-49.6254
1502806,-1.58381,-49.98704
1502855,-1.84603,-55.11391
1502905,-0.74525,-47.86312
1502939,-4.1877,-47.89862
1502954,-6.07035,-49.24613
1503002,-1.15925,-57.80505
1503044,-7.54795,-49.57687
1503077,-2.16848,-47.07517
1503093,-4.02685,-49.00607
1503101,-1.14952,-51.55408
1503200,-1.1455,-47.56448
1503309,-2.06379,-49.13083
1503408,-1.46414,-47.92386
1503457,-2.80825,-47.92463
1503507,-1.81212,-47.40354
1503606,-5.87068,-56.49675
1503705,-5.11442,-49.8695
1503754,-7.44505,-57.30277
1503804,-4.59712,-49.18069
1503903,-2.62392,-56.22231
1504000,-1.86347,-49.46868
1504059,-1.99372,-47.5135
1504109,-0.81068,-47.63623
1504208,-5.63035,-50.01791
1504307,-0.80753,-47.49487
1504406,-0.83299,-47.70948
1504422,-1.39797,-48.31995
1504455,-3.16066,-53.19435
1504505,-1.60772,-51.10321
1504604,-2.57703,-49.46917
1504703,-2.68491,-49.07467
1504752,-3.07086,-54.57503
1504802,-1.07387,-54.35376
1504901,-1.35754,-49.30785
1504950,-2.39446,-46.89994
1504976,-4.98068,-49.23082
1505007,-1.15824,-47.39203
1505031,-8.06325,-55.6118
1505064,-4.50246,-50.27105
1505106,-0.17008,-55.67485
1505205,-2.27773,-49.90223
1505304,0.255,-57.15003
1505403,-1.4967,-47.14103
1505437,-7.52202,-51.43202
1505486,-3.68487,-50.63089
1505494,-5.92601,-48.37148
