uf,ano,populacao
AC,2015,803513
AC,2016,816687
AC,2017,829619
AC,2018,869265
AC,2019,881935
AC,2020,894470
AC,2021,906876
AC,2022,906876
AC,2023,880631
AC,2024,880631
AC,2025,884372
AC,2026,884372
AL,2015,3340932
AL,2016,3358963
AL,2017,3375823
AL,2018,3322820
AL,2019,3337357
AL,2020,3351543
AL,2021,3365351
AL,2022,3365351
AL,2023,3220104
AL,2024,3220104
AL,2025,3220848
AL,2026,3220848
AM,2015,3938336
AM,2016,4001667
AM,2017,4063614
AM,2018,4080611
AM,2019,4144597
AM,2020,4207714
AM,2021,4269995
AM,2022,4269995
AM,2023,4281209
AM,2024,4281209
AM,2025,4321616
AM,2026,4321616
AP,2015,766679
AP,2016,782295
AP,2017,797722
AP,2018,829494
AP,2019,845731
AP,2020,861773
AP,2021,877613
AP,2022,877613
AP,2023,802837
AP,2024,802837
AP,2025,806517
AP,2026,806517
BA,2015,15203334
BA,2016,15276566
BA,2017,15344447
BA,2018,14812617
BA,2019,14873064
BA,2020,14930634
BA,2021,14985284
BA,2022,14985284
BA,2023,14850513
BA,2024,14850513
BA,2025,14870907
BA,2026,14870907
CE,2015,8904459
CE,2016,8963663
CE,2017,9020460
CE,2018,9075649
CE,2019,9132078
CE,2020,9187103
CE,2021,9240580
CE,2022,9240580
CE,2023,9233656
CE,2024,9233656
CE,2025,9268836
CE,2026,9268836
DF,2015,2914830
DF,2016,2977216
DF,2017,3039444
DF,2018,2974703
DF,2019,3015268
DF,2020,3055149
DF,2021,3094325
DF,2022,3094325
DF,2023,2982818
DF,2024,2982818
DF,2025,2996899
DF,2026,2996899
ES,2015,3929911
ES,2016,3973697
ES,2017,4016356
ES,2018,3972388
ES,2019,4018650
ES,2020,4064052
ES,2021,4108508
ES,2022,4108508
ES,2023,4102129
ES,2024,4102129
ES,2025,4126854
ES,2026,4126854
GO,2015,6610681
GO,2016,6695855
GO,2017,6778772
GO,2018,6921161
GO,2019,7018354
GO,2020,7113540
GO,2021,7206589
GO,2022,7206589
GO,2023,7350483
GO,2024,7350483
GO,2025,7423629
GO,2026,7423629
MA,2015,6904241
MA,2016,6954036
MA,2017,7000229
MA,2018,7035055
MA,2019,7075181
MA,2020,7114598
MA,2021,7153262
MA,2022,7153262
MA,2023,7010960
MA,2024,7010960
MA,2025,7018211
MA,2026,7018211
MG,2015,20869101
MG,2016,20997560
MG,2017,21119536
MG,2018,21040662
MG,2019,21168791
MG,2020,21292666
MG,2021,21411923
MG,2022,21411923
MG,2023,21322691
MG,2024,21322691
MG,2025,21393441
MG,2026,21393441
MS,2015,2651235
