id_ibge,uf,cod_uf,cod_municipio,municipio,populacao,ano,fonte
1100015,RO,11,00015,Alta Floresta D'Oeste,22787,2025,IBGE Estimativas de População 2025
1100023,RO,11,00023,Ariquemes,109170,2025,IBGE Estimativas de População 2025
1100031,RO,11,00031,Cabixi,5664,2025,IBGE Estimativas de População 2025
1100049,RO,11,00049,Cacoal,98280,2025,IBGE Estimativas de População 2025
1100056,RO,11,00056,Cerejeiras,16966,2025,IBGE Estimativas de População 2025
1100064,RO,11,00064,Colorado do Oeste,16508,2025,IBGE Estimativas de População 2025
1100072,RO,11,00072,Corumbiara,7968,2025,IBGE Estimativas de População 2025
1100080,RO,11,00080,Costa Marques,13510,2025,IBGE Estimativas de População 2025
1100098,RO,11,00098,Espigão D'Oeste,32842,2025,IBGE Estimativas de População 2025
1100106,RO,11,00106,Guajará-Mirim,43594,2025,IBGE Estimativas de População 2025
1100114,RO,11,00114,Jaru,55682,2025,IBGE Estimativas de População 2025
1100122,RO,11,00122,Ji-Paraná,140101,2025,IBGE Estimativas de População 2025
1100130,RO,11,00130,Machadinho D'Oeste,34149,2025,IBGE Estimativas de População 2025
1100148,RO,11,00148,Nova Brasilândia D'Oeste,16374,2025,IBGE Estimativas de População 2025
1100155,RO,11,00155,Ouro Preto do Oeste,38684,2025,IBGE Estimativas de População 2025
1100189,RO,11,00189,Pimenta Bueno,39220,2025,IBGE Estimativas de População 2025
1100205,RO,11,00205,Porto Velho,517709,2025,IBGE Estimativas de População 2025
1100254,RO,11,00254,Presidente Médici,20443,2025,IBGE Estimativas de População 2025
1100262,RO,11,00262,Rio Crespo,3767,2025,IBGE Estimativas de População 2025
1100288,RO,11,00288,Rolim de Moura,62959,2025,IBGE Estimativas de População 2025
1100296,RO,11,00296,Santa Luzia D'Oeste,7837,2025,IBGE Estimativas de População 2025
1100304,RO,11,00304,Vilhena,109651,2025,IBGE Estimativas de População 2025
1100320,RO,11,00320,São Miguel do Guaporé,22305,2025,IBGE Estimativas de População 2025
1100338,RO,11,00338,Nova Mamoré,28701,2025,IBGE Estimativas de População 2025
1100346,RO,11,00346,Alvorada D'Oeste,13720,2025,IBGE Estimativas de População 2025
